DateTime,marketClose
2019-04-02 09:30:00,300.0
2019-04-02 09:31:00,292.97
2019-04-02 09:32:00,295.12
2019-04-02 09:33:00,296.28
2019-04-02 09:34:00,296.57
2019-04-02 09:35:00,297.9
2019-04-02 09:36:00,294.873
2019-04-02 09:37:00,295.16
2019-04-02 09:38:00,294.56
2019-04-02 09:39:00,297.519
2019-04-02 09:40:00,290.57
2019-04-02 09:41:00,287.71
2019-04-02 09:42:00,289.15
2019-04-02 09:43:00,289.0
2019-04-02 09:44:00,288.341
2019-04-02 09:45:00,293.709
2019-04-02 09:46:00,287.33799999999997
2019-04-02 09:47:00,288.51
2019-04-02 09:48:00,297.01
2019-04-02 09:49:00,294.07599999999996
2019-04-02 09:50:00,296.28
2019-04-02 09:51:00,287.55
2019-04-02 09:52:00,288.871
2019-04-02 09:53:00,294.38
2019-04-02 09:54:00,293.4
2019-04-02 09:55:00,297.8
2019-04-02 09:56:00,289.5
2019-04-02 09:57:00,299.29
2019-04-02 09:58:00,292.54
2019-04-02 09:59:00,297.112
2019-04-02 10:00:00,289.31
2019-04-02 10:01:00,297.48
2019-04-02 10:02:00,286.84
2019-04-02 10:03:00,299.19
2019-04-02 10:04:00,287.65
2019-04-02 10:05:00,287.66
2019-04-02 10:06:00,297.89
2019-04-02 10:07:00,290.15
2019-04-02 10:08:00,294.62
2019-04-02 10:09:00,289.06
2019-04-02 10:10:00,298.43
2019-04-02 10:11:00,289.043
2019-04-02 10:12:00,296.35
2019-04-02 10:13:00,298.6
2019-04-02 10:14:00,293.61400000000003
2019-04-02 10:15:00,298.318
2019-04-02 10:16:00,300.07
2019-04-02 10:17:00,286.48
2019-04-02 10:18:00,298.7
2019-04-02 10:19:00,291.2
2019-04-02 10:20:00,296.21
2019-04-02 10:21:00,296.466
2019-04-02 10:22:00,288.19
2019-04-02 10:23:00,290.5
2019-04-02 10:24:00,295.8
2019-04-02 10:25:00,298.76
2019-04-02 10:26:00,288.3
2019-04-02 10:27:00,286.5
2019-04-02 10:28:00,287.71
2019-04-02 10:29:00,288.0
2019-04-02 10:30:00,295.24
2019-04-02 10:31:00,285.93
2019-04-02 10:32:00,290.5
2019-04-02 10:33:00,297.563
2019-04-02 10:34:00,299.1
2019-04-02 10:35:00,289.79
2019-04-02 10:36:00,289.57
2019-04-02 10:37:00,287.853
2019-04-02 10:38:00,293.9
2019-04-02 10:39:00,299.03
2019-04-02 10:40:00,287.91
2019-04-02 10:41:00,299.93
2019-04-02 10:42:00,298.312
2019-04-02 10:43:00,296.99
2019-04-02 10:44:00,286.13
2019-04-02 10:45:00,294.13
2019-04-02 10:46:00,298.82
2019-04-02 10:47:00,290.52
2019-04-02 10:48:00,296.13
2019-04-02 10:49:00,291.99
2019-04-02 10:50:00,287.06
2019-04-02 10:51:00,299.63
2019-04-02 10:52:00,291.36
2019-04-02 10:53:00,287.09
2019-04-02 10:54:00,286.19
2019-04-02 10:55:00,289.67
2019-04-02 10:56:00,296.76
2019-04-02 10:57:00,292.24
2019-04-02 10:58:00,286.72
2019-04-02 10:59:00,299.35
2019-04-02 11:00:00,288.4
2019-04-02 11:01:00,297.92
2019-04-02 11:02:00,293.68
2019-04-02 11:03:00,298.49
2019-04-02 11:04:00,287.124
2019-04-02 11:05:00,298.68
2019-04-02 11:06:00,290.11
2019-04-02 11:07:00,297.17
2019-04-02 11:08:00,292.9
2019-04-02 11:09:00,286.4
2019-04-02 11:10:00,290.216
2019-04-02 11:11:00,296.43
2019-04-02 11:12:00,296.67
2019-04-02 11:13:00,296.47
2019-04-02 11:14:00,291.07599999999996
2019-04-02 11:15:00,291.65
2019-04-02 11:16:00,292.861
2019-04-02 11:17:00,289.85
2019-04-02 11:18:00,288.8
2019-04-02 11:19:00,286.83
2019-04-02 11:20:00,294.85
2019-04-02 11:21:00,293.9
2019-04-02 11:22:00,292.18
2019-04-02 11:23:00,290.45
2019-04-02 11:24:00,296.11
2019-04-02 11:25:00,299.78
2019-04-02 11:26:00,288.19
2019-04-02 11:27:00,297.68
2019-04-02 11:28:00,290.63
2019-04-02 11:29:00,290.73
2019-04-02 11:30:00,299.62
2019-04-02 11:31:00,295.53
2019-04-02 11:32:00,286.426
2019-04-02 11:33:00,291.23
2019-04-02 11:34:00,290.2
2019-04-02 11:35:00,294.3
2019-04-02 11:36:00,289.8
2019-04-02 11:37:00,290.07
2019-04-02 11:38:00,296.01
2019-04-02 11:39:00,287.04
2019-04-02 11:40:00,289.778
2019-04-02 11:41:00,286.32
2019-04-02 11:42:00,288.482
2019-04-02 11:43:00,290.97
2019-04-02 11:44:00,287.31
2019-04-02 11:45:00,293.46
2019-04-02 11:46:00,294.29
2019-04-02 11:47:00,287.06
2019-04-02 11:48:00,289.62
2019-04-02 11:49:00,294.605
2019-04-02 11:50:00,297.8
2019-04-02 11:51:00,288.74
2019-04-02 11:52:00,298.18
2019-04-02 11:53:00,292.72
2019-04-02 11:54:00,292.1
2019-04-02 11:55:00,286.715
2019-04-02 11:56:00,294.12
2019-04-02 11:57:00,299.39
2019-04-02 11:58:00,297.318
2019-04-02 11:59:00,295.5
2019-04-02 12:00:00,286.52099999999996
2019-04-02 12:01:00,298.9
2019-04-02 12:02:00,292.56
2019-04-02 12:03:00,293.5
2019-04-02 12:04:00,293.78
2019-04-02 12:05:00,288.453
2019-04-02 12:06:00,288.374
2019-04-02 12:07:00,290.12
2019-04-02 12:08:00,286.79
2019-04-02 12:09:00,296.1
2019-04-02 12:10:00,292.927
2019-04-02 12:11:00,290.1
2019-04-02 12:12:00,299.66
2019-04-02 12:13:00,287.55
2019-04-02 12:14:00,288.79
2019-04-02 12:15:00,293.36
2019-04-02 12:16:00,289.0
2019-04-02 12:17:00,289.6
2019-04-02 12:18:00,296.13
2019-04-02 12:19:00,295.96
2019-04-02 12:20:00,297.44
2019-04-02 12:21:00,296.21
2019-04-02 12:22:00,294.52
2019-04-02 12:23:00,293.17
2019-04-02 12:24:00,294.8
2019-04-02 12:25:00,299.63
2019-04-02 12:26:00,292.64
2019-04-02 12:27:00,291.65
2019-04-02 12:28:00,297.78
